time_index,datetime,T_amb_C,RH_amb_pct,GHI_Wm2,POA_Wm2,wind_speed_ms,DIF_Wm2,DNI_Wm2,pressure_Pa
0,2014-01-01 05:45:00,15.78,75.39,0.0,0.0,1.43,0.0,-0.0,100749.0
1,2014-01-01 06:45:00,16.13,73.64,0.0,201.89999999999998,1.42,0.0,-0.0,100808.0
2,2014-01-01 07:45:00,16.48,71.89,233.95,471.54,1.41,69.75,852.65,100888.0
3,2014-01-01 08:45:00,16.82,70.13,417.1,717.53,1.39,87.1,889.34,100927.0
4,2014-01-01 09:45:00,17.17,68.38,557.55,891.3,1.38,98.75,895.41,100997.0
5,2014-01-01 10:45:00,17.52,66.62,640.5,990.16,1.37,104.65,882.88,100967.0
6,2014-01-01 11:45:00,17.86,64.87,653.95,1002.9699999999999,1.36,106.5,844.51,100848.0
7,2014-01-01 12:45:00,18.21,63.11,603.6,941.36,1.35,102.5,790.99,100699.0
8,2014-01-01 13:45:00,22.96,47.15,490.75,801.32,2.83,93.65,704.41,100591.0
9,2014-01-01 14:45:00,23.04,46.95,327.75,590.74,3.1,77.75,563.48,100501.0
10,2014-01-01 15:45:00,22.66,48.45,140.45,317.37,3.1,49.4,323.44,100392.0
11,2014-01-01 16:45:00,21.43,54.85,10.15,0.0,2.34,6.45,41.91,100373.0
12,2014-01-01 17:45:00,19.53,62.55,0.0,0.0,2.41,0.0,-0.0,100452.0
13,2014-01-01 18:45:00,18.2,68.85,0.0,0.0,2.21,0.0,-0.0,100511.0
14,2014-01-01 19:45:00,17.07,74.75,0.0,0.0,1.93,0.0,-0.0,100561.0
15,2014-01-01 20:45:00,15.71,82.65,0.0,0.0,1.59,0.0,-0.0,100650.0
16,2014-01-01 21:45:00,14.8,86.85,0.0,0.0,1.38,0.0,-0.0,100650.0
17,2014-01-01 22:45:00,14.3,87.6,0.0,0.0,1.31,0.0,-0.0,100650.0
18,2014-01-01 23:45:00,13.65,89.55,0.0,0.0,1.31,0.0,-0.0,100640.0
19,2014-01-02 00:45:00,12.81,93.1,0.0,0.0,1.66,0.0,-0.0,100630.0
20,2014-01-02 01:45:00,12.41,94.35,0.0,0.0,1.59,0.0,-0.0,100630.0
21,2014-01-02 02:45:00,12.2,95.15,0.0,0.0,1.52,0.0,-0.0,100591.0
22,2014-01-02 03:45:00,12.04,96.1,0.0,0.0,1.38,0.0,-0.0,100630.0
23,2014-01-02 04:45:00,11.69,97.4,0.0,0.0,1.38,0.0,-0.0,100600.0
24,2014-01-02 05:45:00,11.59,98.2,0.0,0.0,1.24,0.0,-0.0,100660.0
25,2014-01-02 06:45:00,11.54,98.4,0.0,187.92999999999998,1.1,0.0,-0.0,100719.0
26,2014-01-02 07:45:00,12.15,97.3,220.65,437.87,0.97,67.9,795.64,100838.0
27,2014-01-02 08:45:00,15.05,87.9,410.2,686.2700000000001,1.66,91.85,858.51,100927.0
28,2014-01-02 09:45:00,16.97,79.85,547.6,871.05,1.52,129.45,815.82,100997.0
29,2014-01-02 10:45:00,18.76,72.05,594.8,911.9599999999999,1.38,131.25,763.0,100957.0
30,2014-01-02 11:45:00,20.44,62.3,516.2,816.4000000000001,2.07,252.75,405.76,100868.0
31,2014-01-02 12:45:00,19.81,65.6,478.25,755.1600000000001,2.69,202.9,433.65,100739.0
32,2014-01-02 13:45:00,20.64,59.25,445.15,679.11,3.52,120.2,574.59,100650.0
33,2014-01-02 14:45:00,20.84,55.6,313.85,529.71,3.72,93.35,494.69,100571.0
34,2014-01-02 15:45:00,20.61,54.4,134.1,277.31,3.66,49.05,299.74,100531.0
35,2014-01-02 16:45:00,19.7,58.0,9.95,0.0,2.62,6.3,40.29,100462.0
36,2014-01-02 17:45:00,17.97,64.85,0.0,0.0,2.41,0.0,-0.0,100491.0
37,2014-01-02 18:45:00,16.85,69.85,0.0,0.0,2.34,0.0,-0.0,100571.0
38,2014-01-02 19:45:00,15.95,74.1,0.0,0.0,2.21,0.0,-0.0,100640.0
39,2014-01-02 20:45:00,15.03,78.7,0.0,0.0,1.93,0.0,-0.0,100690.0
40,2014-01-02 21:45:00,13.92,84.75,0.0,0.0,1.66,0.0,-0.0,100709.0
41,2014-01-02 22:45:00,13.22,88.2,0.0,0.0,1.38,0.0,-0.0,100719.0
42,2014-01-02 23:45:00,13.08,88.15,0.0,0.0,1.17,0.0,-0.0,100749.0
43,2014-01-03 00:45:00,12.04,91.5,0.0,0.0,1.79,0.0,-0.0,100739.0
44,2014-01-03 01:45:00,11.93,91.3,0.0,0.0,1.79,0.0,-0.0,100749.0
45,2014-01-03 02:45:00,11.49,91.8,0.0,0.0,1.79,0.0,-0.0,100709.0
46,2014-01-03 03:45:00,11.08,92.35,0.0,0.0,1.72,0.0,-0.0,100789.0
