time_index,datetime,T_amb_C,RH_amb_pct,GHI_Wm2,POA_Wm2,wind_speed_ms,DIF_Wm2,DNI_Wm2,pressure_Pa
0,2014-01-01 05:45:00,-9.73,67.41,0.0,0.0,0.4,0.0,-0.0,58630.0
1,2014-01-01 06:45:00,-10.1,65.84,0.0,13.0,0.41,0.0,-0.0,58640.0
2,2014-01-01 07:45:00,-10.47,64.26,74.6,60.05,0.42,74.6,0.0,58680.0
3,2014-01-01 08:45:00,-10.84,62.69,440.7,828.67,0.43,90.95,1139.24,58750.0
4,2014-01-01 09:45:00,-11.21,61.12,610.85,1045.0900000000001,0.44,99.3,1124.4,58810.0
5,2014-01-01 10:45:00,-11.58,59.55,719.05,1178.48,0.45,100.7,1106.02,58830.0
6,2014-01-01 11:45:00,-11.95,57.97,752.6,1218.1599999999999,0.46,100.8,1064.56,58790.0
7,2014-01-01 12:45:00,-12.32,56.4,713.2,1171.1000000000001,0.47,96.5,1009.47,58720.0
8,2014-01-01 13:45:00,-6.39,46.75,602.65,1036.21,0.69,91.8,920.29,58690.0
9,2014-01-01 14:45:00,-6.25,48.85,431.75,821.33,0.69,82.15,779.26,58650.0
10,2014-01-01 15:45:00,-6.33,46.75,215.75,512.6700000000001,0.55,67.1,497.56,58630.0
11,2014-01-01 16:45:00,-6.95,50.85,12.95,10.430000000000001,0.34,12.95,0.0,58630.0
12,2014-01-01 17:45:00,-7.99,52.8,0.0,0.0,0.07,0.0,-0.0,58640.0
13,2014-01-01 18:45:00,-9.3,57.2,0.0,0.0,0.41,0.0,-0.0,58660.0
14,2014-01-01 19:45:00,-10.76,59.4,0.0,0.0,0.55,0.0,-0.0,58670.0
15,2014-01-01 20:45:00,-12.01,56.7,0.0,0.0,0.62,0.0,-0.0,58700.0
16,2014-01-01 21:45:00,-13.24,58.9,0.0,0.0,0.69,0.0,-0.0,58690.0
17,2014-01-01 22:45:00,-14.31,58.6,0.0,0.0,0.76,0.0,-0.0,58680.0
18,2014-01-01 23:45:00,-15.06,53.4,0.0,0.0,0.76,0.0,-0.0,58650.0
19,2014-01-02 00:45:00,-14.43,44.55,0.0,0.0,0.83,0.0,-0.0,58630.0
20,2014-01-02 01:45:00,-14.85,42.4,0.0,0.0,0.83,0.0,-0.0,58610.0
21,2014-01-02 02:45:00,-15.32,40.3,0.0,0.0,0.83,0.0,-0.0,58580.0
22,2014-01-02 03:45:00,-15.71,36.7,0.0,0.0,0.9,0.0,-0.0,58550.0
23,2014-01-02 04:45:00,-16.09,34.8,0.0,0.0,0.9,0.0,-0.0,58550.0
24,2014-01-02 05:45:00,-16.33,34.65,0.0,0.0,0.9,0.0,-0.0,58550.0
25,2014-01-02 06:45:00,-16.45,31.45,0.0,12.520000000000001,0.97,0.0,-0.0,58580.0
26,2014-01-02 07:45:00,-15.84,30.15,69.08,53.22,0.9,69.08,0.0,58630.0
27,2014-01-02 08:45:00,-13.38,29.45,443.9,836.0400000000001,0.76,87.1,1163.2,58730.0
28,2014-01-02 09:45:00,-10.67,30.2,611.1,1046.0300000000002,0.48,91.9,1140.91,58810.0
29,2014-01-02 10:45:00,-9.01,33.6,711.7,1162.1299999999999,0.21,108.9,1077.16,58830.0
30,2014-01-02 11:45:00,-6.88,40.85,725.5,1163.62,0.41,127.7,974.81,58800.0
31,2014-01-02 12:45:00,-5.04,38.0,677.2,1095.83,0.55,135.3,885.02,58780.0
32,2014-01-02 13:45:00,-4.32,38.15,578.6,976.2400000000001,0.55,129.65,806.24,58740.0
33,2014-01-02 14:45:00,-4.07,38.3,427.5,805.07,0.55,90.5,747.79,58720.0
34,2014-01-02 15:45:00,-4.16,41.6,218.15,517.37,0.41,65.35,507.67,58710.0
35,2014-01-02 16:45:00,-4.87,43.3,13.65,10.99,0.21,13.65,0.0,58700.0
36,2014-01-02 17:45:00,-6.18,44.75,0.0,0.0,0.41,0.0,-0.0,58710.0
37,2014-01-02 18:45:00,-7.8,46.35,0.0,0.0,0.62,0.0,-0.0,58740.0
38,2014-01-02 19:45:00,-9.32,48.0,0.0,0.0,0.76,0.0,-0.0,58760.0
39,2014-01-02 20:45:00,-10.77,47.55,0.0,0.0,0.83,0.0,-0.0,58780.0
40,2014-01-02 21:45:00,-12.12,41.35,0.0,0.0,0.9,0.0,-0.0,58790.0
41,2014-01-02 22:45:00,-13.24,40.9,0.0,0.0,0.9,0.0,-0.0,58770.0
42,2014-01-02 23:45:00,-14.06,38.9,0.0,0.0,0.9,0.0,-0.0,58740.0
43,2014-01-03 00:45:00,-13.64,30.9,0.0,0.0,0.9,0.0,-0.0,58710.0
44,2014-01-03 01:45:00,-14.19,30.75,0.0,0.0,0.9,0.0,-0.0,58720.0
45,2014-01-03 02:45:00,-14.68,29.15,0.0,0.0,0.97,0.0,-0.0,58680.0
46,2014-01-03 03:45:00,-14.99,29.0,0.0,0.0,0.97,0.0,-0.0,58660.0
47,2014-01-03 04:45:00,-15.22,26.3,0.0,0.0,0.97,0.0,-0.0,58650.0
48,2014-01-03 05:45:00,-15.47,24.9,0.0,0.0,1.03,0.0,-0.0,58650.0
49,2014-01-03 06:45:00,-15.51,21.5,0.0,12.399999999999999,1.03,0.0,-0.0,58680.0
50,2014-01-03 07:45:00,-15.29,21.5,76.91,51.97,1.03,76.91,0.0,58740.0
51,2014-01-03 08:45:00,-12.25,24.6,453.0,856.8199999999999,0.83,79.65,1217.83,58820.0
52,2014-01-03 09:45:00,-8.94,19.15,623.45,1069.06,0.62,82.55,1188.01,58900.0
53,2014-01-03 10:45:00,-6.84,29.85,729.75,1195.8799999999999,0.21,85.65,1149.63,58910.0
54,2014-01-03 11:45:00,-4.79,27.85,760.9,1228.77,0.21,95.85,1082.57,58860.0
55,2014-01-03 12:45:00,-3.08,29.7,713.8,1166.77,0.48,98.5,1002.47,58830.0
56,2014-01-03 13:45:00,-2.58,35.55,613.9,1052.52,0.55,86.1,944.73,58780.0
57,2014-01-03 14:45:00,-2.39,38.7,433.35,809.49,0.62,99.55,737.23,58750.0
58,2014-01-03 15:45:00,-2.68,42.05,226.65,540.25,0.48,63.05,539.43,58740.0
59,2014-01-03 16:45:00,-3.69,53.9,14.0,11.27,0.21,14.0,0.0,58740.0
60,2014-01-03 17:45:00,-5.13,41.45,0.0,0.0,0.28,0.0,-0.0,58750.0
61,2014-01-03 18:45:00,-6.97,44.65,0.0,0.0,0.55,0.0,-0.0,58750.0
62,2014-01-03 19:45:00,-8.62,46.2,0.0,0.0,0.62,0.0,-0.0,58760.0
63,2014-01-03 20:45:00,-9.97,47.85,0.0,0.0,0.69,0.0,-0.0,58780.0
64,2014-01-03 21:45:00,-10.94,47.55,0.0,0.0,0.69,0.0,-0.0,58760.0
65,2014-01-03 22:45:00,-11.87,45.3,0.0,0.0,0.69,0.0,-0.0,58740.0
66,2014-01-03 23:45:00,-12.51,43.15,0.0,0.0,0.69,0.0,-0.0,58700.0
67,2014-01-04 00:45:00,-11.95,36.05,0.0,0.0,0.62,0.0,-0.0,58670.0
68,2014-01-04 01:45:00,-12.52,35.9,0.0,0.0,0.62,0.0,-0.0,58640.0
69,2014-01-04 02:45:00,-13.03,34.1,0.0,0.0,0.62,0.0,-0.0,58610.0
70,2014-01-04 03:45:00,-13.43,33.95,0.0,0.0,0.62,0.0,-0.0,58580.0
71,2014-01-04 04:45:00,-13.86,33.8,0.0,0.0,0.69,0.0,-0.0,58530.0
72,2014-01-04 05:45:00,-14.19,33.8,0.0,0.0,0.62,0.0,-0.0,58530.0
73,2014-01-04 06:45:00,-14.47,35.3,0.0,12.0,0.62,0.0,-0.0,58550.0
74,2014-01-04 07:45:00,-14.39,37.0,75.88,49.11,0.62,75.88,0.0,58590.0
75,2014-01-04 08:45:00,-11.63,39.5,448.25,845.61,0.28,79.1,1204.41,58650.0
76,2014-01-04 09:45:00,-9.69,38.35,618.45,1057.56,0.28,84.6,1171.7,58700.0
77,2014-01-04 10:45:00,-8.25,42.25,724.3,1183.65,0.62,89.4,1131.7,58710.0
78,2014-01-04 11:45:00,-6.47,44.75,757.95,1222.09,0.83,91.35,1083.02,58660.0
79,2014-01-04 12:45:00,-5.04,43.3,716.7,1169.73,1.17,95.05,1010.22,58590.0
80,2014-01-04 13:45:00,-5.1,49.25,593.6,1007.33,1.17,104.0,873.34,58540.0
81,2014-01-04 14:45:00,-5.45,55.8,427.8,793.94,1.1,99.8,720.92,58490.0
82,2014-01-04 15:45:00,-5.91,63.25,196.4,401.38,0.9,95.1,331.42,58510.0
83,2014-01-04 16:45:00,-6.7,71.5,15.65,12.600000000000001,0.55,15.65,0.0,58490.0
84,2014-01-04 17:45:00,-7.79,80.85,0.0,0.0,0.28,0.0,-0.0,58470.0
85,2014-01-04 18:45:00,-8.87,84.15,0.0,0.0,0.21,0.0,-0.0,58500.0
86,2014-01-04 19:45:00,-9.79,84.05,0.0,0.0,0.07,0.0,-0.0,58510.0
87,2014-01-04 20:45:00,-10.81,80.45,0.0,0.0,0.21,0.0,-0.0,58500.0
88,2014-01-04 21:45:00,-11.88,70.6,0.0,0.0,0.34,0.0,-0.0,58480.0
89,2014-01-04 22:45:00,-12.75,70.4,0.0,0.0,0.34,0.0,-0.0,58470.0
90,2014-01-04 23:45:00,-13.73,67.2,0.0,0.0,0.41,0.0,-0.0,58430.0
91,2014-01-05 00:45:00,-13.63,73.45,0.0,0.0,0.41,0.0,-0.0,58370.0
92,2014-01-05 01:45:00,-14.23,80.0,0.0,0.0,0.41,0.0,-0.0,58340.0
93,2014-01-05 02:45:00,-14.93,79.95,0.0,0.0,0.48,0.0,-0.0,58300.0
