time_index,datetime,T_amb_C,RH_amb_pct,GHI_Wm2,POA_Wm2,wind_speed_ms,DIF_Wm2,DNI_Wm2,pressure_Pa
0,2011-01-01 05:45:00,8.78,91.84,0.0,0.0,0.48,0.0,-0.0,86464.0
1,2011-01-01 06:45:00,8.93,90.83,0.0,29.98,0.56,0.0,-0.0,86507.0
2,2011-01-01 07:45:00,9.09,89.83,156.95,232.54,0.64,87.6,444.7,86550.0
3,2011-01-01 08:45:00,9.25,88.82,312.5,463.64000000000004,0.72,149.0,485.99,86644.0
4,2011-01-01 09:45:00,9.4,87.82,423.4,586.9399999999999,0.8,157.75,551.6,86686.0
5,2011-01-01 10:45:00,9.56,86.81,540.8,796.5799999999999,0.88,113.3,735.08,86644.0
6,2011-01-01 11:45:00,9.72,85.81,523.9,747.42,0.96,184.95,538.42,86541.0
7,2011-01-01 12:45:00,9.87,84.8,333.75,256.38,1.04,198.0,218.18,86438.0
8,2011-01-01 13:45:00,11.55,77.3,323.25,350.14,1.52,160.55,290.49,86396.0
9,2011-01-01 14:45:00,11.22,77.6,200.4,267.14,1.52,122.4,174.33,86319.0
10,2011-01-01 15:45:00,11.02,76.65,107.95,182.31,1.52,59.55,165.81,86267.0
11,2011-01-01 16:45:00,10.45,76.1,7.4,5.76,1.38,7.4,0.0,86225.0
12,2011-01-01 17:45:00,9.66,77.4,0.0,0.0,1.1,0.0,-0.0,86250.0
13,2011-01-01 18:45:00,8.92,81.5,0.0,0.0,0.83,0.0,-0.0,86319.0
14,2011-01-01 19:45:00,7.7,90.6,0.0,0.0,0.83,0.0,-0.0,86327.0
15,2011-01-01 20:45:00,6.73,92.65,0.0,0.0,0.9,0.0,-0.0,86404.0
16,2011-01-01 21:45:00,6.79,92.55,0.0,0.0,0.83,0.0,-0.0,86404.0
17,2011-01-01 22:45:00,6.48,92.75,0.0,0.0,0.83,0.0,-0.0,86438.0
18,2011-01-01 23:45:00,6.47,91.35,0.0,0.0,0.76,0.0,-0.0,86421.0
19,2011-01-02 00:45:00,5.6,93.4,0.0,0.0,0.69,0.0,-0.0,86430.0
20,2011-01-02 01:45:00,5.19,91.95,0.0,0.0,0.76,0.0,-0.0,86413.0
21,2011-01-02 02:45:00,4.9,90.15,0.0,0.0,0.83,0.0,-0.0,86379.0
22,2011-01-02 03:45:00,4.47,87.65,0.0,0.0,0.83,0.0,-0.0,86387.0
23,2011-01-02 04:45:00,4.09,85.5,0.0,0.0,0.9,0.0,-0.0,86404.0
24,2011-01-02 05:45:00,3.94,82.9,0.0,0.0,0.9,0.0,-0.0,86421.0
25,2011-01-02 06:45:00,4.57,79.05,0.0,196.48999999999998,0.9,0.0,-0.0,86515.0
26,2011-01-02 07:45:00,5.22,75.85,206.85,454.17,0.76,55.8,972.29,86601.0
27,2011-01-02 08:45:00,8.57,64.6,398.2,719.5400000000001,0.48,72.4,969.16,86729.0
28,2011-01-02 09:45:00,10.4,62.8,511.6,822.59,0.55,105.0,844.03,86763.0
29,2011-01-02 10:45:00,11.69,61.25,620.0,970.87,0.9,111.0,874.37,86789.0
30,2011-01-02 11:45:00,12.77,59.5,552.25,828.98,1.17,165.85,612.82,86729.0
31,2011-01-02 12:45:00,13.03,59.3,522.5,829.13,1.38,136.1,619.62,86626.0
32,2011-01-02 13:45:00,13.4,58.95,469.05,774.5300000000001,1.45,124.8,612.69,86541.0
33,2011-01-02 14:45:00,13.5,59.25,326.6,603.15,1.45,104.6,493.9,86498.0
34,2011-01-02 15:45:00,13.01,61.2,148.05,321.09000000000003,1.45,60.45,297.82,86515.0
35,2011-01-02 16:45:00,11.96,65.25,9.25,7.13,1.24,9.25,0.0,86567.0
36,2011-01-02 17:45:00,10.62,72.1,0.0,0.0,0.83,0.0,-0.0,86635.0
37,2011-01-02 18:45:00,9.29,85.2,0.0,0.0,0.69,0.0,-0.0,86712.0
38,2011-01-02 19:45:00,8.62,83.3,0.0,0.0,0.55,0.0,-0.0,86738.0
39,2011-01-02 20:45:00,8.02,86.75,0.0,0.0,0.48,0.0,-0.0,86815.0
40,2011-01-02 21:45:00,7.28,91.0,0.0,0.0,0.48,0.0,-0.0,86823.0
41,2011-01-02 22:45:00,6.61,94.85,0.0,0.0,0.48,0.0,-0.0,86866.0
42,2011-01-02 23:45:00,6.1,97.45,0.0,0.0,0.55,0.0,-0.0,86849.0
43,2011-01-03 00:45:00,6.15,97.6,0.0,0.0,0.48,0.0,-0.0,86832.0
44,2011-01-03 01:45:00,5.84,98.55,0.0,0.0,0.48,0.0,-0.0,86789.0
45,2011-01-03 02:45:00,5.62,99.1,0.0,0.0,0.48,0.0,-0.0,86763.0
46,2011-01-03 03:45:00,5.44,99.3,0.0,0.0,0.41,0.0,-0.0,86789.0
47,2011-01-03 04:45:00,4.88,99.4,0.0,0.0,0.41,0.0,-0.0,86797.0
48,2011-01-03 05:45:00,4.34,99.15,0.0,0.0,0.48,0.0,-0.0,86823.0
49,2011-01-03 06:45:00,4.16,98.6,0.0,62.89,0.48,0.0,-0.0,86866.0
50,2011-01-03 07:45:00,4.41,96.85,145.6,233.26999999999998,0.48,91.65,348.4,86960.0
51,2011-01-03 08:45:00,5.95,92.85,323.3,488.1,0.41,119.0,608.03,87020.0
52,2011-01-03 09:45:00,8.88,77.4,524.25,879.7700000000001,0.07,89.5,902.03,87097.0
53,2011-01-03 10:45:00,11.25,63.95,597.95,933.5600000000001,0.76,96.45,860.5,87054.0
54,2011-01-03 11:45:00,12.47,58.1,497.45,726.9300000000001,1.03,147.1,554.68,86968.0
55,2011-01-03 12:45:00,12.5,57.5,554.15,798.5799999999999,1.1,138.65,664.67,86866.0
56,2011-01-03 13:45:00,12.98,55.6,494.3,799.1400000000001,1.31,80.45,734.14,86763.0
57,2011-01-03 14:45:00,13.07,54.65,314.6,559.98,1.31,71.6,538.07,86738.0
58,2011-01-03 15:45:00,12.47,55.65,128.4,256.02,1.24,41.55,292.97,86721.0
59,2011-01-03 16:45:00,11.51,59.2,7.85,6.28,0.9,7.85,0.0,86746.0
60,2011-01-03 17:45:00,10.46,65.05,0.0,0.0,0.69,0.0,-0.0,86755.0
61,2011-01-03 18:45:00,9.37,78.25,0.0,0.0,0.55,0.0,-0.0,86815.0
62,2011-01-03 19:45:00,8.68,78.25,0.0,0.0,0.55,0.0,-0.0,86866.0
63,2011-01-03 20:45:00,8.41,75.3,0.0,0.0,0.55,0.0,-0.0,86909.0
64,2011-01-03 21:45:00,7.79,78.65,0.0,0.0,0.55,0.0,-0.0,86909.0
65,2011-01-03 22:45:00,7.24,81.0,0.0,0.0,0.48,0.0,-0.0,86874.0
66,2011-01-03 23:45:00,6.87,83.1,0.0,0.0,0.48,0.0,-0.0,86857.0
67,2011-01-04 00:45:00,6.66,85.8,0.0,0.0,0.41,0.0,-0.0,86832.0
68,2011-01-04 01:45:00,6.35,86.8,0.0,0.0,0.48,0.0,-0.0,86815.0
69,2011-01-04 02:45:00,6.05,87.3,0.0,0.0,0.48,0.0,-0.0,86815.0
70,2011-01-04 03:45:00,5.66,88.15,0.0,0.0,0.55,0.0,-0.0,86832.0
71,2011-01-04 04:45:00,5.26,88.7,0.0,0.0,0.62,0.0,-0.0,86806.0
72,2011-01-04 05:45:00,4.91,88.85,0.0,0.0,0.62,0.0,-0.0,86780.0
73,2011-01-04 06:45:00,5.01,87.95,0.0,171.29,0.55,0.0,-0.0,86815.0
74,2011-01-04 07:45:00,5.25,85.9,203.2,452.59,0.41,57.65,942.47,86857.0
75,2011-01-04 08:45:00,8.9,65.55,375.75,663.33,0.07,74.9,895.56,86892.0
76,2011-01-04 09:45:00,11.39,50.3,542.6,919.03,0.55,87.85,942.87,86960.0
77,2011-01-04 10:45:00,13.07,46.1,635.65,1030.8600000000001,1.03,101.05,916.09,86943.0
78,2011-01-04 11:45:00,14.07,45.85,647.3,1051.53,1.31,96.1,871.01,86857.0
79,2011-01-04 12:45:00,14.62,47.2,585.0,911.8500000000001,1.45,98.0,777.06,86797.0
80,2011-01-04 13:45:00,14.62,48.7,510.2,857.9300000000001,1.52,88.75,745.05,86712.0
81,2011-01-04 14:45:00,14.47,50.55,336.65,656.8700000000001,1.52,70.3,586.91,86678.0
82,2011-01-04 15:45:00,13.79,53.35,157.7,354.65000000000003,1.45,47.85,367.62,86626.0
83,2011-01-04 16:45:00,12.57,58.6,9.3,6.96,1.17,9.3,0.0,86592.0
84,2011-01-04 17:45:00,11.11,65.95,0.0,0.0,0.9,0.0,-0.0,86618.0
85,2011-01-04 18:45:00,9.38,81.95,0.0,0.0,0.83,0.0,-0.0,86669.0
86,2011-01-04 19:45:00,8.86,78.25,0.0,0.0,0.62,0.0,-0.0,86721.0
87,2011-01-04 20:45:00,8.03,82.75,0.0,0.0,0.48,0.0,-0.0,86755.0
88,2011-01-04 21:45:00,7.23,87.25,0.0,0.0,0.41,0.0,-0.0,86789.0
