time_index,datetime,T_amb_C,RH_amb_pct,GHI_Wm2,POA_Wm2,wind_speed_ms,DIF_Wm2,DNI_Wm2,pressure_Pa
0,2006-01-01 05:45:00,-3.19,6.37,0.0,0.0,1.22,0.0,-0.0,60260.0
1,2006-01-01 06:45:00,-2.61,6.52,0.0,16.580000000000002,1.23,0.0,-0.0,60290.0
2,2006-01-01 07:45:00,-2.02,6.67,67.96,634.29,1.24,67.96,0.0,60320.0
3,2006-01-01 08:45:00,-1.44,6.81,62.95,909.9499999999999,1.26,62.95,0.0,60360.0
4,2006-01-01 09:45:00,-0.85,6.96,661.6,1104.7200000000003,1.27,69.85,1203.96,60370.0
5,2006-01-01 10:45:00,-0.26,7.11,752.7,1210.33,1.28,73.7,1157.11,60360.0
6,2006-01-01 11:45:00,0.32,7.25,764.95,1219.0200000000002,1.3,84.75,1080.2,60320.0
7,2006-01-01 12:45:00,0.91,7.4,688.6,1118.23,1.31,77.95,989.31,60300.0
8,2006-01-01 13:45:00,2.0,16.75,581.65,998.64,1.45,72.75,924.76,60250.0
9,2006-01-01 14:45:00,1.7,19.95,393.95,761.67,1.38,62.25,765.28,60240.0
10,2006-01-01 15:45:00,0.93,22.65,42.75,34.41,1.17,42.75,0.0,60240.0
11,2006-01-01 16:45:00,-0.26,26.55,5.85,0.0,0.76,5.85,0.0,60250.0
12,2006-01-01 17:45:00,-1.96,25.15,0.0,0.0,0.76,0.0,-0.0,60290.0
13,2006-01-01 18:45:00,-3.71,24.55,0.0,0.0,0.97,0.0,-0.0,60320.0
14,2006-01-01 19:45:00,-5.02,19.3,0.0,0.0,1.03,0.0,-0.0,60340.0
15,2006-01-01 20:45:00,-5.54,12.45,0.0,0.0,1.1,0.0,-0.0,60380.0
16,2006-01-01 21:45:00,-5.76,7.5,0.0,0.0,1.1,0.0,-0.0,60380.0
17,2006-01-01 22:45:00,-5.79,7.1,0.0,0.0,1.03,0.0,-0.0,60380.0
18,2006-01-01 23:45:00,-5.86,6.75,0.0,0.0,1.1,0.0,-0.0,60360.0
19,2006-01-02 00:45:00,-5.19,5.55,0.0,0.0,0.9,0.0,-0.0,60320.0
20,2006-01-02 01:45:00,-5.27,5.25,0.0,0.0,0.9,0.0,-0.0,60310.0
21,2006-01-02 02:45:00,-5.24,5.25,0.0,0.0,0.9,0.0,-0.0,60290.0
22,2006-01-02 03:45:00,-5.34,5.0,0.0,0.0,0.9,0.0,-0.0,60270.0
23,2006-01-02 04:45:00,-5.51,5.0,0.0,0.0,0.97,0.0,-0.0,60260.0
24,2006-01-02 05:45:00,-5.55,5.0,0.0,0.0,0.97,0.0,-0.0,60270.0
25,2006-01-02 06:45:00,-5.48,5.0,0.0,16.14,0.97,0.0,-0.0,60290.0
26,2006-01-02 07:45:00,-5.34,5.25,57.57,603.99,0.97,57.57,0.0,60320.0
27,2006-01-02 08:45:00,-3.04,5.3,70.0,878.89,0.69,70.0,0.0,60340.0
28,2006-01-02 09:45:00,0.18,5.1,643.15,1069.3,1.03,78.65,1148.1,60350.0
29,2006-01-02 10:45:00,1.36,7.8,737.2,1180.93,1.45,84.6,1110.97,60340.0
30,2006-01-02 11:45:00,1.81,13.85,752.9,1196.3799999999999,1.66,88.3,1053.69,60290.0
31,2006-01-02 12:45:00,1.78,17.45,692.65,1120.04,1.59,91.9,971.0,60230.0
32,2006-01-02 13:45:00,1.61,20.85,562.85,958.24,1.59,86.0,863.7,60160.0
33,2006-01-02 14:45:00,1.16,25.8,379.65,721.86,1.45,75.5,698.38,60130.0
34,2006-01-02 15:45:00,0.33,31.75,47.15,37.96,1.24,47.15,0.0,60120.0
35,2006-01-02 16:45:00,-0.84,35.8,6.55,0.0,0.83,6.55,0.0,60120.0
36,2006-01-02 17:45:00,-2.35,37.1,0.0,0.0,0.55,0.0,-0.0,60160.0
37,2006-01-02 18:45:00,-3.62,38.3,0.0,0.0,0.69,0.0,-0.0,60190.0
38,2006-01-02 19:45:00,-4.74,34.8,0.0,0.0,0.76,0.0,-0.0,60220.0
39,2006-01-02 20:45:00,-5.56,27.7,0.0,0.0,0.83,0.0,-0.0,60240.0
40,2006-01-02 21:45:00,-6.19,22.8,0.0,0.0,0.83,0.0,-0.0,60250.0
41,2006-01-02 22:45:00,-6.61,18.0,0.0,0.0,0.83,0.0,-0.0,60240.0
42,2006-01-02 23:45:00,-6.92,16.25,0.0,0.0,0.83,0.0,-0.0,60210.0
43,2006-01-03 00:45:00,-6.48,14.15,0.0,0.0,0.76,0.0,-0.0,60180.0
44,2006-01-03 01:45:00,-6.92,14.05,0.0,0.0,0.76,0.0,-0.0,60150.0
45,2006-01-03 02:45:00,-7.36,13.95,0.0,0.0,0.83,0.0,-0.0,60130.0
46,2006-01-03 03:45:00,-7.7,14.5,0.0,0.0,0.83,0.0,-0.0,60080.0
47,2006-01-03 04:45:00,-8.16,15.15,0.0,0.0,0.9,0.0,-0.0,60080.0
48,2006-01-03 05:45:00,-8.57,15.15,0.0,0.0,0.9,0.0,-0.0,60090.0
49,2006-01-03 06:45:00,-9.07,16.55,0.0,16.5,0.97,0.0,-0.0,60100.0
50,2006-01-03 07:45:00,-8.54,16.7,52.75,586.39,0.9,52.75,0.0,60140.0
51,2006-01-03 08:45:00,-4.49,14.65,68.8,851.5600000000001,0.55,68.8,0.0,60140.0
52,2006-01-03 09:45:00,-2.04,17.5,627.95,1040.17,1.38,82.5,1108.73,60170.0
53,2006-01-03 10:45:00,-0.97,22.1,714.6,1138.2,1.86,99.75,1045.44,60160.0
54,2006-01-03 11:45:00,-0.34,27.75,720.7,1136.59,2.21,108.4,969.01,60120.0
55,2006-01-03 12:45:00,-0.66,30.15,687.4,1109.5900000000001,1.72,87.2,967.69,60070.0
56,2006-01-03 13:45:00,-0.64,30.15,570.8,973.11,1.66,73.9,896.95,60020.0
57,2006-01-03 14:45:00,-0.82,28.85,361.5,683.11,1.45,69.8,666.5,59980.0
58,2006-01-03 15:45:00,-1.44,25.25,42.4,34.13,1.24,42.4,0.0,59970.0
59,2006-01-03 16:45:00,-2.44,28.55,6.45,0.0,0.83,6.45,0.0,59980.0
60,2006-01-03 17:45:00,-3.85,29.4,0.0,0.0,0.76,0.0,-0.0,60010.0
