site,quarter,batch_idx,target_offset_h,start_row_index,start_datetime_NPT,start_T_C,start_RH_pct,start_solar_Wm2
biratnagar,Q1,0,0,3,2014-01-01T08:45:00,16.82,70.13,717.53
biratnagar,Q1,1,24,27,2014-01-02T08:45:00,15.05,87.9,686.2700000000001
biratnagar,Q1,2,48,51,2014-01-03T08:45:00,14.08,79.4,608.24
biratnagar,Q1,3,72,75,2014-01-04T08:45:00,15.38,77.95,713.73
biratnagar,Q1,4,96,99,2014-01-05T08:45:00,14.35,83.2,699.0600000000001
biratnagar,Q1,5,120,123,2014-01-06T08:45:00,15.16,81.05,691.7099999999999
biratnagar,Q1,6,144,147,2014-01-07T08:45:00,14.54,75.8,630.18
biratnagar,Q1,7,168,171,2014-01-08T08:45:00,13.85,75.5,716.27
biratnagar,Q1,8,192,195,2014-01-09T08:45:00,14.03,76.6,722.7700000000001
biratnagar,Q1,9,216,219,2014-01-10T08:45:00,14.82,74.75,663.55
biratnagar,Q1,10,240,243,2014-01-11T08:45:00,14.77,79.95,88.8
biratnagar,Q1,11,264,267,2014-01-12T08:45:00,15.73,82.8,629.22
biratnagar,Q1,12,288,291,2014-01-13T08:45:00,15.32,78.25,707.1500000000001
biratnagar,Q1,13,312,315,2014-01-14T08:45:00,14.68,81.6,710.18
biratnagar,Q1,14,336,339,2014-01-15T08:45:00,14.74,81.8,516.18
biratnagar,Q1,15,360,363,2014-01-16T08:45:00,15.41,81.1,710.26
biratnagar,Q1,16,384,387,2014-01-17T08:45:00,17.37,75.65,719.85
biratnagar,Q1,17,408,411,2014-01-18T08:45:00,16.38,74.85,346.35
biratnagar,Q1,18,432,435,2014-01-19T08:45:00,16.46,74.4,728.86
biratnagar,Q1,19,456,459,2014-01-20T08:45:00,15.15,80.8,719.0
biratnagar,Q1,20,480,483,2014-01-21T08:45:00,16.07,77.25,713.02
biratnagar,Q1,21,504,507,2014-01-22T08:45:00,17.32,77.65,698.38
biratnagar,Q1,22,528,531,2014-01-23T08:45:00,17.21,76.0,691.88
biratnagar,Q1,23,552,555,2014-01-24T08:45:00,17.01,84.95,577.57
biratnagar,Q1,24,576,579,2014-01-25T08:45:00,15.78,89.1,488.8299999999999
biratnagar,Q1,25,600,603,2014-01-26T08:45:00,15.02,83.15,698.51
biratnagar,Q1,26,624,627,2014-01-27T08:45:00,14.82,84.75,698.15
biratnagar,Q1,27,648,651,2014-01-28T08:45:00,14.9,81.9,695.7900000000001
biratnagar,Q1,28,672,675,2014-01-29T08:45:00,17.14,77.6,707.5100000000001
biratnagar,Q1,29,696,699,2014-01-30T08:45:00,16.56,80.5,718.1999999999999
biratnagar,Q1,30,720,723,2014-01-31T08:45:00,15.67,81.3,716.56
biratnagar,Q1,31,744,747,2017-02-01T08:45:00,18.44,70.5,609.26
biratnagar,Q1,32,768,771,2017-02-02T08:45:00,17.46,73.7,700.88
biratnagar,Q1,33,792,795,2017-02-03T08:45:00,17.19,75.6,696.24
biratnagar,Q1,34,816,819,2017-02-04T08:45:00,17.8,76.9,660.98
biratnagar,Q1,35,840,843,2017-02-05T08:45:00,19.1,75.55,723.67
biratnagar,Q1,36,864,867,2017-02-06T08:45:00,19.72,74.4,700.3100000000001
biratnagar,Q1,37,888,891,2017-02-07T08:45:00,18.9,79.3,704.42
biratnagar,Q1,38,912,915,2017-02-08T08:45:00,17.24,65.9,699.5500000000001
biratnagar,Q1,39,936,939,2017-02-09T08:45:00,18.3,75.8,698.69
biratnagar,Q1,40,960,963,2017-02-10T08:45:00,17.66,73.85,712.58
biratnagar,Q1,41,984,987,2017-02-11T08:45:00,16.9,55.3,746.7800000000001
biratnagar,Q1,42,1008,1011,2017-02-12T08:45:00,17.74,64.15,587.83
biratnagar,Q1,43,1032,1035,2017-02-13T08:45:00,18.27,62.35,724.33
biratnagar,Q1,44,1056,1059,2017-02-14T08:45:00,19.95,63.05,711.7
biratnagar,Q1,45,1080,1083,2017-02-15T08:45:00,19.25,64.9,711.52
biratnagar,Q1,46,1104,1107,2017-02-16T08:45:00,19.75,65.05,707.72
