site,quarter,batch_idx,target_offset_h,start_row_index,start_datetime_NPT,start_T_C,start_RH_pct,start_solar_Wm2
biratnagar,Q1,0,0,3,2014-01-01T08:45:00,16.82,70.13,717.53
biratnagar,Q1,5,120,123,2014-01-06T08:45:00,15.16,81.05,691.7099999999999
biratnagar,Q1,10,240,243,2014-01-11T08:45:00,14.77,79.95,88.8
biratnagar,Q1,15,360,363,2014-01-16T08:45:00,15.41,81.1,710.26
biratnagar,Q1,20,480,483,2014-01-21T08:45:00,16.07,77.25,713.02
biratnagar,Q1,25,600,603,2014-01-26T08:45:00,15.02,83.15,698.51
biratnagar,Q1,30,720,723,2014-01-31T08:45:00,15.67,81.3,716.56
biratnagar,Q1,35,840,843,2017-02-05T08:45:00,19.1,75.55,723.67
biratnagar,Q1,40,960,963,2017-02-10T08:45:00,17.66,73.85,712.58
biratnagar,Q1,45,1080,1083,2017-02-15T08:45:00,19.25,64.9,711.52
biratnagar,Q1,50,1200,1203,2017-02-20T08:45:00,20.96,74.4,267.28000000000003
biratnagar,Q1,55,1320,1323,2017-02-25T08:45:00,19.08,56.45,725.21
biratnagar,Q1,60,1440,1443,2011-03-02T08:45:00,21.33,48.4,713.7900000000001
biratnagar,Q1,65,1560,1563,2011-03-07T08:45:00,22.3,42.85,724.81
biratnagar,Q1,70,1680,1683,2011-03-12T08:45:00,25.01,34.15,660.43
biratnagar,Q1,75,1800,1803,2011-03-17T08:45:00,27.46,28.5,681.2499999999999
biratnagar,Q1,80,1920,1923,2011-03-22T08:45:00,26.12,34.15,729.23
biratnagar,Q1,85,2040,2043,2011-03-27T08:45:00,25.69,56.45,441.97
biratnagar,Q2,0,0,2163,2011-04-01T08:45:00,23.76,71.11,271.42
biratnagar,Q2,5,120,2283,2011-04-06T08:45:00,26.17,43.6,707.3599999999999
biratnagar,Q2,10,240,2403,2011-04-11T08:45:00,29.16,42.0,665.9699999999999
biratnagar,Q2,15,360,2523,2011-04-16T08:45:00,27.69,55.1,637.88
biratnagar,Q2,20,480,2643,2011-04-21T08:45:00,29.1,51.95,666.7800000000001
biratnagar,Q2,25,600,2763,2011-04-26T08:45:00,25.9,64.35,570.3499999999999
biratnagar,Q2,30,720,2883,2008-05-01T08:45:00,29.0,61.09,482.21
biratnagar,Q2,35,840,3003,2008-05-06T08:45:00,27.11,71.4,524.98
biratnagar,Q2,40,960,3123,2008-05-11T08:45:00,28.54,61.95,494.88
biratnagar,Q2,45,1080,3243,2008-05-16T08:45:00,29.09,71.95,431.55
biratnagar,Q2,50,1200,3363,2008-05-21T08:45:00,24.59,88.45,339.49
biratnagar,Q2,55,1320,3483,2008-05-26T08:45:00,24.98,89.9,244.48
biratnagar,Q2,60,1440,3603,2008-05-31T08:45:00,28.42,76.6,298.40000000000003
biratnagar,Q2,65,1560,3723,2011-06-05T08:45:00,28.14,77.9,247.82
biratnagar,Q2,70,1680,3843,2011-06-10T08:45:00,28.63,76.55,477.86
biratnagar,Q2,75,1800,3963,2011-06-15T08:45:00,27.98,79.85,216.49
biratnagar,Q2,80,1920,4083,2011-06-20T08:45:00,26.62,88.65,239.47
biratnagar,Q2,85,2040,4203,2011-06-25T08:45:00,25.74,95.7,97.67
biratnagar,Q2,90,2160,4323,2011-06-30T08:45:00,24.83,97.6,26.77
biratnagar,Q3,0,0,4347,2020-07-01T08:45:00,28.28,84.99,353.47
biratnagar,Q3,5,120,4467,2020-07-06T08:45:00,28.01,82.15,303.82
biratnagar,Q3,10,240,4587,2020-07-11T08:45:00,25.98,94.5,48.94
biratnagar,Q3,15,360,4707,2020-07-16T08:45:00,27.46,88.25,293.05
biratnagar,Q3,20,480,4827,2020-07-21T08:45:00,26.15,90.95,261.42
biratnagar,Q3,25,600,4947,2020-07-26T08:45:00,28.72,82.65,399.4
biratnagar,Q3,30,720,5067,2020-07-31T08:45:00,25.85,96.2,132.83999999999995
biratnagar,Q3,35,840,5187,2006-08-05T08:45:00,27.82,79.4,479.09
biratnagar,Q3,40,960,5307,2006-08-10T08:45:00,31.58,72.6,455.71
biratnagar,Q3,45,1080,5427,2006-08-15T08:45:00,29.93,76.5,429.28
biratnagar,Q3,50,1200,5547,2006-08-20T08:45:00,28.55,84.8,527.42
biratnagar,Q3,55,1320,5667,2006-08-25T08:45:00,26.98,86.7,191.52
biratnagar,Q3,60,1440,5787,2006-08-30T08:45:00,26.19,88.15,272.82
biratnagar,Q3,65,1560,5907,2007-09-04T08:45:00,26.6,88.9,253.28
biratnagar,Q3,70,1680,6027,2007-09-09T08:45:00,26.25,87.5,291.46
biratnagar,Q3,75,1800,6147,2007-09-14T08:45:00,27.48,84.4,444.47
biratnagar,Q3,80,1920,6267,2007-09-19T08:45:00,30.14,73.25,673.26
biratnagar,Q3,85,2040,6387,2007-09-24T08:45:00,24.67,83.75,148.20000000000002
biratnagar,Q3,90,2160,6507,2007-09-29T08:45:00,27.42,83.45,527.76
biratnagar,Q4,0,0,6555,2005-10-01T08:45:00,26.74,83.5,371.81
biratnagar,Q4,5,120,6675,2005-10-06T08:45:00,26.27,83.35,541.0500000000001
biratnagar,Q4,10,240,6795,2005-10-11T08:45:00,27.75,71.05,734.6000000000001
biratnagar,Q4,15,360,6915,2005-10-16T08:45:00,26.86,74.15,563.72
biratnagar,Q4,20,480,7035,2005-10-21T08:45:00,21.73,86.55,201.75
biratnagar,Q4,25,600,7155,2005-10-26T08:45:00,24.27,77.75,694.51
biratnagar,Q4,30,720,7275,2005-10-31T08:45:00,24.08,67.15,775.53
biratnagar,Q4,35,840,7395,2014-11-05T08:45:00,24.86,62.8,566.51
biratnagar,Q4,40,960,7515,2014-11-10T08:45:00,24.0,67.05,746.5699999999999
biratnagar,Q4,45,1080,7635,2014-11-15T08:45:00,22.11,66.45,710.47
biratnagar,Q4,50,1200,7755,2014-11-20T08:45:00,22.29,66.35,628.8
biratnagar,Q4,55,1320,7875,2014-11-25T08:45:00,20.12,69.75,762.9799999999999
biratnagar,Q4,60,1440,7995,2014-11-30T08:45:00,20.2,68.6,443.38
biratnagar,Q4,65,1560,8115,2016-12-05T08:45:00,19.23,76.75,753.97
biratnagar,Q4,70,1680,8235,2016-12-10T08:45:00,16.69,74.0,768.88
biratnagar,Q4,75,1800,8355,2016-12-15T08:45:00,14.3,90.3,543.52
biratnagar,Q4,80,1920,8475,2016-12-20T08:45:00,17.63,77.8,598.33
biratnagar,Q4,85,2040,8595,2016-12-25T08:45:00,20.34,71.75,623.09
kathmandu,Q1,0,0,3,2011-01-01T08:45:00,9.25,88.82,463.64
kathmandu,Q1,5,120,123,2011-01-06T08:45:00,8.93,81.5,746.1100000000001
kathmandu,Q1,10,240,243,2011-01-11T08:45:00,7.91,67.35,731.29
kathmandu,Q1,15,360,363,2011-01-16T08:45:00,5.73,89.0,534.0400000000001
kathmandu,Q1,20,480,483,2011-01-21T08:45:00,6.79,80.45,608.98
kathmandu,Q1,25,600,603,2011-01-26T08:45:00,7.57,77.45,538.42
kathmandu,Q1,30,720,723,2011-01-31T08:45:00,9.0,66.95,720.74
kathmandu,Q1,35,840,843,2020-02-05T08:45:00,7.03,89.05,461.25
kathmandu,Q1,40,960,963,2020-02-10T08:45:00,8.24,65.3,719.47
kathmandu,Q1,45,1080,1083,2020-02-15T08:45:00,10.4,92.65,102.36
kathmandu,Q1,50,1200,1203,2020-02-20T08:45:00,10.91,93.2,318.24
kathmandu,Q1,55,1320,1323,2020-02-25T08:45:00,11.15,77.9,484.33
kathmandu,Q1,60,1440,1443,2006-03-02T08:45:00,14.74,49.65,729.1400000000001
kathmandu,Q1,65,1560,1563,2006-03-07T08:45:00,14.88,43.65,727.2
kathmandu,Q1,70,1680,1683,2006-03-12T08:45:00,12.0,72.1,708.92
kathmandu,Q1,75,1800,1803,2006-03-17T08:45:00,13.75,67.85,717.92
kathmandu,Q1,80,1920,1923,2006-03-22T08:45:00,15.89,48.75,713.67
kathmandu,Q1,85,2040,2043,2006-03-27T08:45:00,17.98,36.55,723.8000000000001
kathmandu,Q2,0,0,2163,2006-04-01T08:45:00,17.52,46.78,667.83
kathmandu,Q2,5,120,2283,2006-04-06T08:45:00,16.9,59.3,625.51
kathmandu,Q2,10,240,2403,2006-04-11T08:45:00,20.64,38.3,694.51
kathmandu,Q2,15,360,2523,2006-04-16T08:45:00,21.94,24.55,601.66
kathmandu,Q2,20,480,2643,2006-04-21T08:45:00,16.0,61.85,649.74
kathmandu,Q2,25,600,2763,2006-04-26T08:45:00,16.69,73.75,520.25
kathmandu,Q2,30,720,2883,2018-05-01T08:45:00,16.85,73.96,553.38
kathmandu,Q2,35,840,3003,2018-05-06T08:45:00,16.72,83.85,479.97
kathmandu,Q2,40,960,3123,2018-05-11T08:45:00,18.82,49.9,612.62
kathmandu,Q2,45,1080,3243,2018-05-16T08:45:00,18.66,71.85,553.8299999999999
kathmandu,Q2,50,1200,3363,2018-05-21T08:45:00,19.95,78.9,401.09
kathmandu,Q2,55,1320,3483,2018-05-26T08:45:00,21.96,69.4,518.85
kathmandu,Q2,60,1440,3603,2018-05-31T08:45:00,20.99,73.2,522.3199999999999
kathmandu,Q2,65,1560,3723,2018-06-05T08:45:00,21.25,77.7,495.69999999999993
