site,quarter,batch_idx,target_offset_h,start_row_index,start_datetime_NPT,start_T_C,start_RH_pct,start_solar_Wm2
biratnagar,Q1,15,360,363,2014-01-16T08:45:00,15.41,81.1,710.26
biratnagar,Q1,45,1080,1083,2017-02-15T08:45:00,19.25,64.9,711.52
biratnagar,Q1,75,1800,1803,2011-03-17T08:45:00,27.46,28.5,681.2499999999999
biratnagar,Q2,15,360,2523,2011-04-16T08:45:00,27.69,55.1,637.88
biratnagar,Q2,45,1080,3243,2008-05-16T08:45:00,29.09,71.95,431.55
biratnagar,Q2,75,1800,3963,2011-06-15T08:45:00,27.98,79.85,216.49
biratnagar,Q3,15,360,4707,2020-07-16T08:45:00,27.46,88.25,293.05
biratnagar,Q3,45,1080,5427,2006-08-15T08:45:00,29.93,76.5,429.28
biratnagar,Q3,75,1800,6147,2007-09-14T08:45:00,27.48,84.4,444.47
biratnagar,Q4,15,360,6915,2005-10-16T08:45:00,26.86,74.15,563.72
biratnagar,Q4,45,1080,7635,2014-11-15T08:45:00,22.11,66.45,710.47
biratnagar,Q4,75,1800,8355,2016-12-15T08:45:00,14.3,90.3,543.52
kathmandu,Q1,15,360,363,2011-01-16T08:45:00,5.73,89.0,534.0400000000001
kathmandu,Q1,45,1080,1083,2020-02-15T08:45:00,10.4,92.65,102.36
kathmandu,Q1,75,1800,1803,2006-03-17T08:45:00,13.75,67.85,717.92
kathmandu,Q2,15,360,2523,2006-04-16T08:45:00,21.94,24.55,601.66
kathmandu,Q2,45,1080,3243,2018-05-16T08:45:00,18.66,71.85,553.8299999999999
kathmandu,Q2,75,1800,3963,2018-06-15T08:45:00,20.35,86.65,232.7
kathmandu,Q3,15,360,4707,2016-07-16T08:45:00,21.32,87.8,356.2
kathmandu,Q3,45,1080,5427,2012-08-15T08:45:00,20.69,88.2,446.06
kathmandu,Q3,75,1800,6147,2012-09-14T08:45:00,20.19,91.5,371.06
kathmandu,Q4,15,360,6915,2016-10-16T08:45:00,18.07,83.35,597.8499999999999
kathmandu,Q4,45,1080,7635,2011-11-15T08:45:00,11.29,89.8,553.9200000000001
kathmandu,Q4,75,1800,8355,2012-12-15T08:45:00,9.99,66.0,759.52
jomsom,Q1,15,360,363,2014-01-16T08:45:00,-16.35,34.65,832.3100000000001
jomsom,Q1,45,1080,1083,2007-02-15T08:45:00,-17.55,50.3,743.0
jomsom,Q1,75,1800,1803,2012-03-17T08:45:00,-12.09,39.35,757.13
jomsom,Q2,15,360,2523,2019-04-16T08:45:00,0.0,64.45,707.77
jomsom,Q2,45,1080,3243,2010-05-16T08:45:00,2.59,62.5,646.4499999999999
jomsom,Q2,75,1800,3963,2006-06-15T08:45:00,3.33,67.7,547.9900000000001
jomsom,Q3,15,360,4707,2020-07-16T08:45:00,7.3,85.8,382.96
jomsom,Q3,45,1080,5427,2007-08-15T08:45:00,7.1,85.75,377.27
jomsom,Q3,75,1800,6147,2005-09-14T08:45:00,4.42,88.8,614.16
jomsom,Q4,15,360,6915,2008-10-16T08:45:00,-1.32,64.1,836.48
jomsom,Q4,45,1080,7635,2019-11-15T08:45:00,-2.61,47.75,873.84
jomsom,Q4,75,1800,8355,2006-12-15T08:45:00,-10.5,28.85,867.08
namche,Q1,15,360,363,2006-01-16T08:45:00,-3.44,41.9,754.8399999999999
namche,Q1,45,1080,1083,2016-02-15T08:45:00,-12.17,23.45,847.84
namche,Q1,75,1800,1803,2019-03-17T08:45:00,-3.85,14.75,795.83
namche,Q2,15,360,2523,2007-04-16T08:45:00,3.3,42.0,715.18
namche,Q2,45,1080,3243,2022-05-16T08:45:00,6.05,85.7,326.96
namche,Q2,75,1800,3963,2008-06-15T08:45:00,7.0,85.75,300.85
namche,Q3,15,360,4707,2012-07-16T08:45:00,5.45,95.75,213.93
namche,Q3,45,1080,5427,2012-08-15T08:45:00,8.05,71.25,605.54
namche,Q3,75,1800,6147,2013-09-14T08:45:00,4.46,79.2,720.1400000000001
namche,Q4,15,360,6915,2011-10-16T08:45:00,3.62,20.45,800.36
namche,Q4,45,1080,7635,2020-11-15T08:45:00,0.92,33.45,924.16
namche,Q4,75,1800,8355,2005-12-15T08:45:00,-2.62,4.3,903.57
