T_C,RH,v_ms,d_mm,K_logged,K_recomputed,rel_err
45,0.1081615054,1.1,6,0.0001352583853,0.0001352583853,0
38.75502893,0.2025058668,1.1,6,9.668654315e-05,9.668654315e-05,0
34.29434269,0.3056709235,1.1,6,7.115301293e-05,7.115301293e-05,0
31.01859721,0.4089383328,1.1,6,5.400941608e-05,5.400941608e-05,0
28.53998132,0.5074896776,1.1,6,4.224459972e-05,4.224459972e-05,0
26.60970308,0.5992863343,1.1,6,3.395297082e-05,3.395297082e-05,0
25.06757769,0.6837986765,1.1,6,2.794731431e-05,2.794731431e-05,0
23.80909058,0.7611683208,1.1,6,2.348605903e-05,2.348605903e-05,0
22.76531279,0.8317251129,1.1,6,2.010038792e-05,2.010038792e-05,0
21.89175087,0.8956491576,1.1,6,1.74921831e-05,1.74921831e-05,0
45,0.1081599443,1.1,6,0.0001352587548,0.0001352587548,0
38.80544798,0.2015338657,1.1,6,9.698729446e-05,9.698729446e-05,0
34.35668626,0.3039512976,1.1,6,7.149515082e-05,7.149515082e-05,0
31.07906049,0.406764188,1.1,6,5.431141006e-05,5.431141006e-05,0
28.5944478,0.505092473,1.1,6,4.249104901e-05,4.249104901e-05,0
26.65757498,0.596817558,1.1,6,3.414924772e-05,3.414924772e-05,0
25.10938404,0.6813497681,1.1,6,2.810312156e-05,2.810312156e-05,0
23.8456042,0.7587936468,1.1,6,2.361034131e-05,2.361034131e-05,0
22.7972261,0.8294603958,1.1,6,2.020015001e-05,2.020015001e-05,0
21.91950793,0.8935290971,1.1,6,1.757237956e-05,1.757237956e-05,0
45,0.1081583793,1.1,6,0.0001352591252,0.0001352591252,0
38.855462,0.2005735871,1.1,6,9.728584405e-05,9.728584405e-05,0
34.41881662,0.3022462047,1.1,6,7.183661593e-05,7.183661593e-05,0
31.13948372,0.4046022061,1.1,6,5.461382777e-05,5.461382777e-05,0
28.64896428,0.5027038263,1.1,6,4.273833462e-05,4.273833462e-05,0
26.70553295,0.5943541735,1.1,6,3.43464085e-05,3.43464085e-05,0
25.15128596,0.6789038565,1.1,6,2.825972143e-05,2.825972143e-05,0
23.8822122,0.7564201827,1.1,6,2.373529329e-05,2.373529329e-05,0
22.82923103,0.8271953658,1.1,6,2.03004716e-05,2.03004716e-05,0
21.94736089,0.8914068215,1.1,6,1.765306194e-05,1.765306194e-05,0
45,0.1081568103,1.1,6,0.0001352594966,0.0001352594966,0
38.90507423,0.1996248588,1.1,6,9.75822051e-05,9.75822051e-05,0
34.48073288,0.3005555355,1.1,6,7.217739551e-05,7.217739551e-05,0
31.19986556,0.4024523578,1.1,6,5.491665828e-05,5.491665828e-05,0
28.70353012,0.5003237428,1.1,6,4.298645317e-05,4.298645317e-05,0
26.753577,0.5918961913,1.1,6,3.454445469e-05,3.454445469e-05,0
25.19328378,0.6764609473,1.1,6,2.841711744e-05,2.841711744e-05,0
23.918915,0.7540479311,1.1,6,2.38609188e-05,2.38609188e-05,0
22.86132789,0.8249300335,1.1,6,2.040135587e-05,2.040135587e-05,0
21.97530952,0.8892823833,1.1,6,1.77342318e-05,1.77342318e-05,0
45,0.1081552373,1.1,6,0.0001352598689,0.0001352598689,0
38.95428785,0.1986875117,1.1,6,9.787639079e-05,9.787639079e-05,0
34.54243415,0.2988791812,1.1,6,7.251747692e-05,7.251747692e-05,0
31.26020466,0.4003146144,1.1,6,5.521989052e-05,5.521989052e-05,0
28.75814467,0.4979522289,1.1,6,4.32354011e-05,4.32354011e-05,0
26.80170708,0.5894436226,1.1,6,3.474338768e-05,3.474338768e-05,0
