start_id,success,cost,rmse_full,logK_ref,Ea_over_R,alpha_RH,gamma_v,delta_d
0,True,1.7262983,0.046849888,-8.4696269,3738.2547,1.964737,0.40124151,0.58928871
1,True,1.7262983,0.046849888,-8.4696269,3738.2547,1.9647369,0.40124151,0.58928871
2,True,1.7262983,0.046849888,-8.4696269,3738.2547,1.9647369,0.40124151,0.58928872
3,True,1.7262983,0.046849888,-8.4696271,3738.2548,1.9647366,0.40124153,0.58928874
4,True,1.7262983,0.046849888,-8.4696269,3738.2547,1.964737,0.4012415,0.58928871
5,True,1.7262983,0.046849888,-8.469627,3738.2547,1.9647369,0.40124151,0.58928872
6,True,1.7262983,0.046849888,-8.4696269,3738.2547,1.964737,0.4012415,0.5892887
7,True,1.7262983,0.046849888,-8.4696269,3738.2549,1.9647369,0.40124152,0.58928872
8,True,1.7262983,0.046849888,-8.4696269,3738.2547,1.964737,0.40124151,0.58928871
9,True,1.7262983,0.046849888,-8.4696269,3738.2547,1.964737,0.4012415,0.58928871
