start_id,success,cost,rmse_full,logA,Ea_J_per_mol,n0,n_T,n_v,b0,b_RH
0,True,1.6215849,0.045406757,-0.75139975,15358.5,1.2428201,0.0044299334,0.092689469,4.1454554e-05,4.905915e-05
1,True,1.6215849,0.045406757,-0.75130435,15358.756,1.24282,0.0044298791,0.092689465,4.1454569e-05,4.905915e-05
2,True,19.991695,0.15943198,-2.1130377,134343.91,1.9103306,0.028072903,-0.041084224,-0.002,0.00017964147
3,True,19.991701,0.15943201,-16.047244,132638.81,1.4421924,0.0065236106,0.26499886,-0.0019999999,0.00017971802
4,True,1.6215849,0.045406757,-0.75145737,15358.346,1.2428201,0.0044299662,0.092689471,4.145454e-05,4.9059151e-05
5,True,1.6215849,0.045406757,-0.75137781,15358.559,1.24282,0.004429921,0.092689469,4.1454554e-05,4.905915e-05
6,True,1.6215849,0.045406757,-0.75140089,15358.497,1.2428201,0.004429934,0.092689468,4.1454552e-05,4.905915e-05
7,True,1.6215849,0.045406757,-0.75140008,15358.499,1.2428201,0.0044299337,0.092689471,4.145455e-05,4.905915e-05
8,True,19.991696,0.15943198,-12.172366,126241.19,1.2236252,-0.041235008,-0.3819941,-0.002,0.00017965249
9,True,1.6215849,0.045406757,-0.75141684,15358.454,1.2428201,0.0044299431,0.092689468,4.1454551e-05,4.905915e-05
