dataset,m1_loco_rmse,m2_loco_rmse,m3_loco_rmse
T50_v0p60,0.0453565,0.0284991,0.0738734
T50_v0p85,0.0476742,0.0242883,0.0316127
T50_v1p1_t_10mm,0.0867643,0.14758,0.111045
T50_v1p1_t_4mm,0.0946777,0.0667163,0.0927492
T50_v1p1_t_6mm,0.0526474,0.0250939,0.0469671
T50_v1p1_t_8mm,0.0393207,0.0336864,0.0148619
T50_v1p1_velsweep,0.0479089,0.0348418,0.0609646
T50V1p1_RH_25-28%,0.0541665,0.0428291,0.134136
T50V1p1_RH_35-38%,0.0531724,0.0197463,0.0970864
T50V1p1_RH_40-45%,0.0506643,0.0290292,0.052912
T_40_v1p1,0.0301703,0.0265565,0.0977303
T_45_v1p1,0.0328529,0.0163856,0.0248865
T_50_v1p1_tempsweep,0.05076,0.0298796,0.052079
