model,param,estimate,se,ci95_lo,ci95_hi
M1,logK_ref,-8.46963,0.0389171,-8.5459,-8.39335
M1,Ea_over_R_K,3738.25,158.765,3427.08,4049.43
M1,alpha_RH,1.96474,0.0962883,1.77601,2.15346
M1,gamma_v,0.401242,0.0209438,0.360192,0.442291
M1,delta_d,0.589289,0.0213424,0.547458,0.63112
M2,logA,-0.7514,0.052745,-0.85478,-0.64802
M2,Ea_J_per_mol,15358.5,1.96738e-05,15358.5,15358.5
M2,n0,1.24282,0.0109451,1.22137,1.26427
M2,n_T,0.00442993,0.000303126,0.00383581,0.00502406
M2,n_v,0.0926895,0.0048593,0.0831652,0.102214
M2,b0,4.14546e-05,9.05268e-06,2.37113e-05,5.91978e-05
M2,b_RH,4.90592e-05,1.89297e-06,4.53489e-05,5.27694e-05
