dataset,T_C,v_ms,thickness_mm,RH_lo_pct,RH_hi_pct,RH_mid_pct,tL_start,tL_end,famL,kL,nL,bL,AICcL,rmseL,tR_start,tR_end,famR,kR,nR,bR,AICcR,rmseR,offsetR_at_join,right_time_shift_at_boundary,rmse_total_raw,rmse_total_corrected,delta_AICc_total,splits_used,famL_is_page,famR_is_page
T50_v0p60,50,0.6,6,40,45,42.5,2.928647497,251.8636848,Midilli,0.001755231,1.104660966,-0.000468181,-1196.86358,0.002907911,254.2066028,542.3855165,Page,0.000373816,1.442281472,0,-913.5846188,0.002202104,0.003918898,2.342918,0.003618931,0.003618931,364.8476077,1,FALSE,TRUE
T50_v0p85,50,0.85,6,40,45,42.5,4.100106496,374.2811502,Midilli,0.001402846,1.206389214,-0.000229882,-1434.680522,0.004088808,380.7241747,519.542066,Page,0.014697013,0.863808239,0,-508.7515805,0.002225334,-0.003900747,0,0.004197567,0.004197567,297.5548669,1,FALSE,TRUE
T50_v1p1_t_10mm,50,1.1,10,40,45,42.5,9.551020408,429.7959184,Midilli,0.002643837,0.991131541,-0.000394213,-865.7361007,0.00830187,433.4693878,673.7142857,Midilli,0.0059882,0.930685009,-4.11E-05,-599.3716157,0.001815061,0.004507377,0,0.007298964,0.007298964,245.022649,1,FALSE,FALSE
T50_v1p1_t_4mm,50,1.1,4,40,45,42.5,5.87755102,78.6122449,Page,0.001534098,1.274806058,0,-349.3944924,0.006384706,80.81632653,314.4489796,Midilli,0.00106231,1.336420319,-0.000160714,-699.9671312,0.003057777,-0.003233525,2.20408163,0.005275123,0.005275123,65.07596046,1,TRUE,FALSE
T50_v1p1_t_6mm,50,1.1,6,40,45,42.5,8.081632653,47.02040816,Page,0.000265575,1.677845124,0,-159.9306137,0.004096235,47.75510204,381.3061224,Midilli,0.001623058,1.217735412,-0.000171659,-806.5257362,0.004118133,0.013674905,0,0.013164189,0.013164189,120.3433449,1,TRUE,FALSE
T50_v1p1_t_8mm,50,1.1,8,40,45,42.5,5.142857143,374.6938776,Midilli,0.002428125,1.111862788,-0.000152845,-891.5577739,0.004476989,380.5714286,537.7959184,Page,0.006393146,0.98329986,0,-313.3160815,0.002779503,-0.000359769,0,0.004130524,0.004130524,114.77017,1,FALSE,TRUE
T50_v1p1_velsweep,50,1.1,6,40,45,42.5,1.757188498,349.0947817,Midilli,0.002136763,1.167812924,-0.000207844,-1406.767121,0.00454848,353.1948882,413.5250266,Page,0.019574179,0.848856645,0,-206.184518,0.001364302,0.004176978,0,0.004531977,0.004531977,128.7720156,1,FALSE,TRUE
T50V1p1_RH_25-28%,50,1.1,6,25,28,26.5,4.217477664,78.74088963,Page,0.002935383,1.182981858,0,-348.1518314,0.006499061,80.26205418,281.9798682,Midilli,0.002855864,1.15389586,-0.000408821,-847.3571821,0.002887701,-0.013459229,0,0.011899077,0.011899077,78.93161207,1,TRUE,FALSE
T50V1p1_RH_35-38%,50,1.1,6,35,38,36.5,5.741609756,33.88285708,Page,0.000518191,1.611352362,0,-160.3040081,0.004045567,35.78505464,332.2774142,Midilli,0.001769921,1.230832898,-0.00022298,-1099.179132,0.003352229,0.002242563,1.90219756,0.004122681,0.004122681,62.31651599,1,TRUE,FALSE
T50V1p1_RH_40-45%,50,1.1,6,40,45,42.5,9.934160026,354.3856387,Midilli,0.001470959,1.241345442,-0.000142602,-1254.331659,0.006993991,357.0522763,426.3925708,Page,0.025395299,0.799683589,0,-217.0973991,0.001461817,0.003737046,0,0.006711267,0.006711267,84.43750353,1,FALSE,TRUE
T_40_v1p1,40,1.1,6,40,45,42.5,2.579140184,376.9286528,Midilli,0.002524799,1.041173834,-0.000169162,-752.1332736,0.002429283,381.498227,693.4713371,Page,0.001727912,1.14213516,0,-442.030381,0.00432542,0.012804113,0,0.008667805,0.008667805,170.6355993,1,FALSE,TRUE
T_45_v1p1,45,1.1,6,40,45,42.5,1.924804581,393.974683,Midilli,0.00226726,1.112408319,-0.000149253,-796.5979351,0.004734371,400.5043254,559.731213,Page,0.004520797,1.034461939,0,-239.7623016,0.002216769,0.003098357,0,0.004556355,0.004556355,93.79591688,1,FALSE,TRUE
T_50_v1p1_tempsweep,50,1.1,6,40,45,42.5,5.838084123,201.3805977,Page,0.001734414,1.223685085,0,-433.0795717,0.006183882,207.2627614,414.2522299,Page,0.000368643,1.513064223,0,-392.2796824,0.00345997,0.010971485,5.8821637,0.008792173,0.008792173,54.79841213,1,TRUE,TRUE
